2024-10-25,17:36:44,Sample Rate(S):,0.100
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
-5.6869700000e-09,-1.2976400000e-08,1.4168400000e-08,-1.1160400000e+02,6.6666000000e+04,5.8015000000e-09,1.3690000000e-08,-5.4711400000e-10,1.2936000000e-08,-2.4240000000e+00,1.7878400000e-09,1.2322800000e-08,1.2358700000e-08,9.0190000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
1.3633100000e-08,-1.1606200000e-08,1.7905100000e-08,-3.8269000000e+01,6.6666000000e+04,5.9414800000e-09,6.9873300000e-09,1.5145800000e-08,1.4105000000e-08,7.1815000000e+01,-1.2911800000e-08,4.1558100000e-09,1.2728600000e-08,1.6093700000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
7.8674600000e-09,-1.4225100000e-08,1.6256900000e-08,-6.3330000000e+01,6.6666000000e+04,6.0244400000e-09,1.2414500000e-08,1.0481500000e-08,1.6212900000e-08,3.7959000000e+01,-8.6958300000e-09,1.3917600000e-08,1.6101800000e-08,1.2018400000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-3.4770100000e-08,1.0022600000e-08,3.6186500000e-08,1.6506700000e+02,6.6666000000e+04,5.9396300000e-09,-9.1997300000e-10,-3.6860000000e-08,3.7549600000e-08,-9.0266000000e+01,3.7357400000e-08,-3.7862300000e-09,3.9040400000e-08,-3.2790000000e+00,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
3.6109600000e-09,-1.4443000000e-09,3.8925500000e-09,-1.5381000000e+01,6.6666000000e+04,6.1821800000e-09,1.5775900000e-10,4.8070800000e-09,5.7073500000e-09,9.1212000000e+01,-5.6908000000e-09,4.2862100000e-10,6.5417200000e-09,1.7653500000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0820000000e+00
1.5019400000e-09,-1.0601000000e-08,1.0707500000e-08,-8.0046000000e+01,6.6666000000e+04,5.8669300000e-09,1.0062800000e-08,4.9159300000e-09,1.1660200000e-08,2.4936000000e+01,-3.9834200000e-09,1.1426700000e-08,1.2101200000e-08,1.0885600000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0820000000e+00
1.3132000000e-09,-1.4274600000e-08,1.4334900000e-08,-8.4267000000e+01,6.6666000000e+04,6.0090700000e-09,1.2930400000e-08,4.4441700000e-09,1.3389400000e-08,1.9385000000e+01,-3.2105200000e-09,1.2637000000e-08,1.3038500000e-08,1.0497900000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
2.0834000000e-08,9.1772100000e-09,2.2765700000e-08,2.3773000000e+01,6.6666000000e+04,5.8456000000e-09,-1.3122600000e-08,1.7487700000e-08,2.1382200000e-08,1.2641900000e+02,-1.8347800000e-08,-1.0979400000e-08,2.0952600000e-08,-1.4968400000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
1.9509700000e-08,-2.8113400000e-08,3.4220700000e-08,-5.5241000000e+01,6.6666000000e+04,5.7996600000e-09,2.2772800000e-08,2.6708700000e-08,3.5886500000e-08,5.0551000000e+01,-2.5388300000e-08,2.5362400000e-08,3.6574700000e-08,1.3583500000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-1.2684000000e-08,1.6628500000e-08,2.0916000000e-08,1.2441500000e+02,6.6666000000e+04,6.1973500000e-09,-1.4008300000e-08,-1.5513800000e-08,2.0913000000e-08,-1.3526300000e+02,1.3220400000e-08,-1.7827500000e-08,2.1039800000e-08,-5.7937000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
1.7360500000e-08,5.6099400000e-09,1.8244900000e-08,1.7908000000e+01,6.6666000000e+04,5.5592000000e-09,-9.1900800000e-09,1.5984700000e-08,1.8438800000e-08,1.1836100000e+02,-1.7247100000e-08,-7.2638000000e-09,1.9076200000e-08,-1.5866100000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-9.9131800000e-10,4.9061200000e-09,5.0066000000e-09,1.0142300000e+02,6.6666000000e+04,5.3794200000e-09,-5.9271200000e-09,-3.2113100000e-09,1.0370700000e-08,-1.4795100000e+02,4.6315200000e-09,-9.2785800000e-09,1.2328800000e-08,-6.2898000000e+01,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0820000000e+00
6.6764100000e-09,-1.5205600000e-08,1.6606800000e-08,-6.6295000000e+01,6.6666000000e+04,5.3239700000e-09,1.2801000000e-08,9.6601600000e-09,1.5449000000e-08,3.6741000000e+01,-8.0074100000e-09,1.3211500000e-08,1.4802400000e-08,1.2084100000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
-3.4825200000e-09,1.7731600000e-08,1.8073400000e-08,1.0111200000e+02,6.6666000000e+04,5.3768500000e-09,-1.4902400000e-08,-8.0468800000e-09,1.5936000000e-08,-1.4759700000e+02,7.2039000000e-09,-1.4210900000e-08,1.4579200000e-08,-5.3800000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-1.2008800000e-08,-1.4177500000e-08,1.8581200000e-08,-1.3275200000e+02,6.6666000000e+04,4.9089500000e-09,1.6409200000e-08,-1.1095100000e-08,1.9388700000e-08,-3.4911000000e+01,1.2573900000e-08,1.4386000000e-08,1.9727500000e-08,4.4203000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0840000000e+00
