2024-10-25,17:06:40,Sample Rate(S):,0.100
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
1.0121200000e-07,-1.5483700000e-07,1.8498300000e-07,-5.5502000000e+01,1.1451400000e+04,6.8607200000e-08,1.7622100000e-07,5.6234600000e-08,1.8338900000e-07,1.8606000000e+01,1.2969800000e-07,1.2965100000e-07,1.8038700000e-07,4.6114000000e+01,2.0860000000e+00,2.0870000000e+00,2.0880000000e+00,2.0880000000e+00
-2.7611700000e-08,-1.3769400000e-07,1.4043600000e-07,-1.0133900000e+02,1.1451400000e+04,6.4603900000e-08,1.3008300000e-07,-6.7978500000e-08,1.5275900000e-07,-2.7378000000e+01,1.5273600000e-07,-2.6494500000e-09,1.5755900000e-07,-1.0990000000e+00,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
1.1780100000e-07,-6.4734500000e-10,1.1780400000e-07,5.5900000000e-01,1.1451400000e+04,6.0920800000e-08,3.1998400000e-08,1.0985500000e-07,1.0772300000e-07,7.6515000000e+01,-2.4047100000e-08,1.0041800000e-07,1.0378800000e-07,1.0463200000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
-2.9768300000e-07,-2.4098000000e-07,3.8300200000e-07,-1.4100900000e+02,1.1451400000e+04,5.4426700000e-08,1.3709800000e-07,-3.5641000000e-07,3.8006400000e-07,-7.1705000000e+01,2.6722900000e-07,-2.7023800000e-07,3.7833700000e-07,-4.7011000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0840000000e+00
-1.2063100000e-07,1.1722100000e-07,1.6820500000e-07,1.3452100000e+02,1.1451400000e+04,5.3756600000e-08,-1.3280600000e-07,-6.9789700000e-08,1.4067800000e-07,-1.5281700000e+02,-8.3545000000e-08,-1.1318200000e-07,1.3096300000e-07,-1.2708800000e+02,2.0880000000e+00,2.0890000000e+00,2.0890000000e+00,2.0880000000e+00
-1.8886800000e-07,7.3144500000e-08,2.0253900000e-07,1.5883000000e+02,1.1451400000e+04,5.3171100000e-08,-1.2080800000e-07,-1.5977300000e-07,1.9691100000e-07,-1.2647100000e+02,-3.4488300000e-08,-1.9386700000e-07,1.8847700000e-07,-9.9954000000e+01,2.0860000000e+00,2.0890000000e+00,2.0870000000e+00,2.0870000000e+00
9.1205100000e-09,-1.2282200000e-07,1.2316000000e-07,-8.5753000000e+01,1.1451400000e+04,5.1900900000e-08,1.3934900000e-07,-2.7687800000e-08,1.4207400000e-07,-1.0121000000e+01,1.4418200000e-07,4.2061900000e-08,1.5019500000e-07,1.7752000000e+01,2.0880000000e+00,2.0890000000e+00,2.0840000000e+00,2.0790000000e+00
-1.5566200000e-07,7.7806000000e-08,1.7402600000e-07,1.5344200000e+02,1.1451400000e+04,4.1930700000e-08,-1.2417800000e-07,-1.2779800000e-07,1.8194300000e-07,-1.3494300000e+02,-5.7909500000e-08,-1.7247900000e-07,1.8552700000e-07,-1.0930000000e+02,2.0870000000e+00,2.0870000000e+00,2.0830000000e+00,2.0780000000e+00
-1.0861500000e-07,8.8913400000e-08,1.4036700000e-07,1.4163300000e+02,1.1451400000e+04,4.4091600000e-08,-1.0986800000e-07,-7.6457800000e-08,1.2966200000e-07,-1.4499400000e+02,-6.2088800000e-08,-1.0903900000e-07,1.2420500000e-07,-1.1861100000e+02,2.0880000000e+00,2.0890000000e+00,2.0880000000e+00,2.0880000000e+00
-1.3980000000e-07,1.7149500000e-08,1.4084800000e-07,1.7300600000e+02,1.1451400000e+04,3.4858000000e-08,-5.8259300000e-08,-1.2878800000e-07,1.4106700000e-07,-1.1522600000e+02,2.8517600000e-09,-1.4103600000e-07,1.4020000000e-07,-9.0193000000e+01,2.0880000000e+00,2.0870000000e+00,2.0840000000e+00,2.0800000000e+00
-1.6454700000e-07,5.3475500000e-08,1.7301800000e-07,1.6199700000e+02,1.1451400000e+04,3.4040600000e-08,-1.0315000000e-07,-1.4839600000e-07,1.8814400000e-07,-1.2514200000e+02,-2.8645400000e-08,-1.8595000000e-07,1.9540100000e-07,-9.9287000000e+01,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
