2024-10-25,19:51:19,Sample Rate(S):,1.000
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
4.4093000000e-08,-8.3078400000e-08,9.4054300000e-08,-6.2043000000e+01,6.6660000000e+03,5.1734200000e-08,-1.8074700000e-08,-9.2363800000e-08,9.4115700000e-08,-1.0107600000e+02,-9.3848600000e-08,7.8638500000e-09,9.4239700000e-08,1.7520600000e+02,2.0870000000e+00,2.0890000000e+00,2.0880000000e+00,2.0870000000e+00
6.3769800000e-09,-3.6249600000e-08,3.6806200000e-08,-8.0023000000e+01,6.6660000000e+03,5.1879400000e-08,-1.8052100000e-08,-3.2276000000e-08,3.6981400000e-08,-1.1954600000e+02,-3.4300300000e-08,1.4743000000e-08,3.7512600000e-08,1.5658400000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
-3.7882600000e-08,-2.7058900000e-08,4.6554000000e-08,-1.4446200000e+02,6.6660000000e+03,5.0368300000e-08,-4.6377300000e-08,2.9267500000e-09,4.6384900000e-08,1.7626500000e+02,-2.0651600000e-09,4.6339000000e-08,4.6214900000e-08,9.2302000000e+01,2.0880000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
-2.2443000000e-08,6.1291500000e-08,6.5271200000e-08,1.1011100000e+02,6.6660000000e+03,4.7335800000e-08,2.1519600000e-08,6.1890200000e-08,6.5524800000e-08,7.0697000000e+01,6.3963300000e-08,-1.4786100000e-08,6.5774200000e-08,-1.3147000000e+01,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
5.8649200000e-08,-2.4991300000e-08,6.3751900000e-08,-2.3080000000e+01,6.6660000000e+03,4.5077300000e-08,3.0221600000e-08,-5.6092700000e-08,6.3716200000e-08,-6.1264000000e+01,-5.2153100000e-08,-3.6549200000e-08,6.3658900000e-08,-1.4455400000e+02,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0880000000e+00
-1.4269400000e-08,2.1603500000e-08,2.5890700000e-08,1.2365800000e+02,6.6660000000e+03,4.4945500000e-08,2.4005800000e-09,2.5552000000e-08,2.5438300000e-08,8.4847000000e+01,2.5433300000e-08,5.0333200000e-10,2.4985900000e-08,1.5670000000e+00,2.0870000000e+00,2.0890000000e+00,2.0880000000e+00,2.0880000000e+00
-4.0739100000e-09,6.8196800000e-09,7.9439000000e-09,1.2085300000e+02,6.6660000000e+03,4.4193500000e-08,1.2047000000e-09,7.6541800000e-09,7.5552700000e-09,8.0233000000e+01,7.5413300000e-09,-4.5858200000e-10,7.3646000000e-09,-4.3560000000e+00,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0850000000e+00
4.3274000000e-09,2.5162600000e-08,2.5532100000e-08,8.0242000000e+01,6.6660000000e+03,3.8588900000e-08,1.9042700000e-08,1.6849900000e-08,2.5427200000e-08,4.2095000000e+01,1.8857300000e-08,-1.6753200000e-08,2.5224400000e-08,-4.1315000000e+01,2.0870000000e+00,2.0890000000e+00,2.0880000000e+00,2.0870000000e+00
9.3493200000e-09,4.2407100000e-08,4.3425500000e-08,7.7567000000e+01,6.6660000000e+03,3.5768600000e-08,3.3902200000e-08,2.6915400000e-08,4.3287400000e-08,3.8350000000e+01,3.0316100000e-08,-3.0703600000e-08,4.3148300000e-08,-4.5462000000e+01,2.0870000000e+00,2.0890000000e+00,2.0880000000e+00,2.0820000000e+00
-4.3668700000e-08,1.0198700000e-08,4.4843900000e-08,1.6723200000e+02,6.6660000000e+03,3.5998200000e-08,-2.7733100000e-08,3.5233300000e-08,4.4833700000e-08,1.2858400000e+02,3.1773800000e-08,3.1630400000e-08,4.4823800000e-08,4.5618000000e+01,2.0880000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
