2024/10/25,15:36:08,Sample Rate(S):,0.1,,,,,,,,,,,,,,
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
-4.65E-08,3.47E-08,5.80E-08,1.43E+02,6.67E+03,1.12E-08,-4.71E-08,-3.66E-08,6.09E-08,-1.42E+02,-3.62E-08,-4.90E-08,6.18E-08,-1.26E+02,2.09E+00,2.09E+00,2.09E+00,2.08E+00
4.41E-08,-8.08E-08,9.21E-08,-6.14E+01,6.67E+03,1.19E-08,8.96E-08,1.97E-08,9.18E-08,1.17E+01,8.11E-08,4.15E-08,9.02E-08,2.62E+01,2.09E+00,2.09E+00,2.08E+00,2.08E+00
1.72E-08,-5.88E-08,6.13E-08,-7.37E+01,6.67E+03,1.18E-08,6.21E-08,-2.73E-09,6.22E-08,-3.90E+00,6.16E-08,1.25E-08,6.35E-08,1.03E+01,2.09E+00,2.09E+00,2.09E+00,2.09E+00
-6.62E-08,-1.09E-08,6.71E-08,-1.72E+02,6.67E+03,1.20E-08,-8.92E-09,-6.49E-08,6.37E-08,-9.89E+01,7.12E-09,-6.33E-08,5.99E-08,-8.46E+01,2.09E+00,2.09E+00,2.08E+00,2.08E+00
4.17E-08,5.28E-08,6.73E-08,5.17E+01,6.67E+03,1.20E-08,-3.91E-08,5.33E-08,6.62E-08,1.27E+02,-5.15E-08,3.97E-08,6.39E-08,1.43E+02,2.09E+00,2.09E+00,2.09E+00,2.09E+00
4.42E-08,9.34E-08,1.03E-07,6.57E+01,6.67E+03,1.23E-08,-7.93E-08,6.71E-08,1.04E-07,1.40E+02,-9.46E-08,4.08E-08,1.03E-07,1.57E+02,2.09E+00,2.09E+00,2.08E+00,2.08E+00
-4.30E-09,5.09E-08,5.11E-08,9.48E+01,6.67E+03,1.26E-08,-5.69E-08,9.96E-09,5.77E-08,1.70E+02,-6.09E-08,-5.82E-09,6.48E-08,-1.75E+02,2.09E+00,2.09E+00,2.09E+00,2.09E+00
-6.17E-08,5.80E-08,8.47E-08,1.37E+02,6.67E+03,1.20E-08,-7.26E-08,-4.52E-08,8.65E-08,-1.47E+02,-5.74E-08,-6.46E-08,8.75E-08,-1.31E+02,2.09E+00,2.09E+00,2.08E+00,2.08E+00
9.18E-08,1.52E-08,9.30E-08,9.40E+00,6.67E+03,1.26E-08,9.58E-09,9.05E-08,9.10E-08,8.56E+01,-1.65E-08,8.53E-08,8.69E-08,1.02E+02,2.09E+00,2.09E+00,2.09E+00,2.09E+00
1.25E-08,-2.79E-08,3.06E-08,-6.46E+01,6.67E+03,1.24E-08,3.19E-08,5.29E-09,3.40E-08,1.07E+01,3.05E-08,1.49E-08,3.55E-08,2.73E+01,2.09E+00,2.09E+00,2.08E+00,2.08E+00
6.35E-08,5.57E-08,8.44E-08,4.13E+01,6.67E+03,1.28E-08,-3.52E-08,7.38E-08,8.18E-08,1.16E+02,-5.19E-08,5.95E-08,7.24E-08,1.32E+02,2.09E+00,2.09E+00,2.08E+00,2.08E+00
8.35E-09,2.87E-08,2.99E-08,7.38E+01,6.67E+03,1.14E-08,-2.58E-08,2.37E-08,3.51E-08,1.33E+02,-3.27E-08,1.99E-08,4.18E-08,1.45E+02,2.09E+00,2.09E+00,2.09E+00,2.09E+00
4.54E-08,4.78E-08,6.59E-08,4.65E+01,6.67E+03,1.10E-08,-3.28E-08,5.72E-08,6.59E-08,1.19E+02,-4.61E-08,4.70E-08,6.56E-08,1.34E+02,2.09E+00,2.09E+00,2.08E+00,2.08E+00
-5.68E-09,-3.26E-09,6.56E-09,-1.50E+02,6.67E+03,1.11E-08,2.93E-09,-5.93E-09,7.50E-09,-3.49E+01,7.05E-09,-2.50E-09,8.82E-09,-3.91E+00,2.09E+00,2.09E+00,2.09E+00,2.09E+00
-3.20E-08,-7.39E-09,3.28E-08,-1.67E+02,6.67E+03,1.00E-08,-2.62E-09,-3.36E-08,3.47E-08,-9.61E+01,5.59E-09,-3.43E-08,3.48E-08,-8.16E+01,2.09E+00,2.09E+00,2.09E+00,2.08E+00
6.25E-09,-5.93E-08,5.96E-08,-8.40E+01,6.67E+03,9.96E-09,5.70E-08,-1.01E-08,5.57E-08,-1.03E+01,5.55E-08,4.87E-09,5.06E-08,4.18E+00,2.09E+00,2.09E+00,2.09E+00,2.09E+00
-5.50E-08,1.43E-08,5.68E-08,1.64E+02,6.67E+03,1.02E-08,-2.99E-08,-4.73E-08,5.54E-08,-1.24E+02,-1.79E-08,-5.24E-08,5.47E-08,-1.11E+02,2.09E+00,2.09E+00,2.09E+00,2.09E+00
3.68E-09,-1.84E-08,1.88E-08,-7.87E+01,6.67E+03,1.08E-08,1.65E-08,-2.98E-09,1.68E-08,-1.90E+01,1.30E-08,-8.37E-10,1.11E-08,-7.17E+00,2.09E+00,2.09E+00,2.08E+00,2.08E+00
1.39E-08,-1.48E-08,2.04E-08,-4.97E+01,6.67E+03,1.02E-08,1.71E-08,7.70E-09,1.70E-08,1.99E+01,1.39E-08,7.49E-09,1.54E-08,2.90E+01,2.09E+00,2.09E+00,2.09E+00,2.09E+00
4.54E-08,1.96E-08,4.95E-08,2.33E+01,6.67E+03,9.37E-09,-4.94E-09,4.80E-08,4.82E-08,9.42E+01,-1.56E-08,4.40E-08,4.67E-08,1.05E+02,2.09E+00,2.09E+00,2.08E+00,2.08E+00
-1.97E-08,2.98E-08,3.57E-08,1.24E+02,6.67E+03,9.29E-09,-3.54E-08,-1.13E-08,3.81E-08,-1.63E+02,-3.21E-08,-2.05E-08,3.84E-08,-1.48E+02,2.09E+00,2.09E+00,2.08E+00,2.08E+00
-1.53E-08,-3.06E-08,3.42E-08,-1.17E+02,6.67E+03,8.96E-09,2.77E-08,-2.24E-08,3.86E-08,-3.33E+01,3.67E-08,-1.19E-08,3.98E-08,-1.50E+01,2.09E+00,2.09E+00,2.09E+00,2.08E+00
-4.23E-08,-2.09E-09,4.24E-08,-1.77E+02,6.67E+03,9.12E-09,-1.42E-08,-4.32E-08,4.71E-08,-1.11E+02,-4.44E-09,-4.69E-08,4.88E-08,-9.80E+01,2.09E+00,2.09E+00,2.08E+00,2.08E+00
2.27E-08,4.72E-08,5.24E-08,6.43E+01,6.67E+03,9.19E-09,-3.97E-08,3.79E-08,5.49E-08,1.34E+02,-4.94E-08,2.88E-08,5.99E-08,1.46E+02,2.09E+00,2.09E+00,2.09E+00,2.09E+00
5.38E-08,7.18E-09,5.43E-08,7.60E+00,6.67E+03,1.02E-08,6.86E-09,5.18E-08,5.22E-08,8.25E+01,-6.89E-09,5.02E-08,5.07E-08,9.76E+01,2.09E+00,2.09E+00,2.08E+00,2.08E+00
-9.78E-09,3.14E-08,3.29E-08,1.07E+02,6.67E+03,1.01E-08,-3.32E-08,-1.34E-09,3.31E-08,-1.77E+02,-3.15E-08,-1.03E-08,3.28E-08,-1.61E+02,2.09E+00,2.09E+00,2.09E+00,2.09E+00
-2.11E-08,5.95E-08,6.31E-08,1.10E+02,6.67E+03,1.07E-08,-6.35E-08,-4.90E-09,6.37E-08,-1.74E+02,-5.98E-08,-2.38E-08,6.45E-08,-1.57E+02,2.09E+00,2.09E+00,2.09E+00,2.09E+00
-4.03E-08,3.01E-08,5.03E-08,1.43E+02,6.67E+03,9.67E-09,-3.96E-08,-2.93E-08,4.79E-08,-1.45E+02,-3.04E-08,-3.69E-08,4.65E-08,-1.31E+02,2.09E+00,2.09E+00,2.08E+00,2.08E+00
-2.06E-08,-4.64E-08,5.08E-08,-1.14E+02,6.67E+03,9.68E-09,3.89E-08,-3.11E-08,4.87E-08,-3.75E+01,4.51E-08,-1.84E-08,4.63E-08,-1.97E+01,2.09E+00,2.09E+00,2.09E+00,2.09E+00
2.43E-08,8.93E-08,9.25E-08,7.48E+01,6.67E+03,9.91E-09,-7.54E-08,4.80E-08,8.94E-08,1.47E+02,-8.29E-08,2.65E-08,8.44E-08,1.62E+02,2.09E+00,2.09E+00,2.08E+00,2.08E+00
3.80E-08,-3.67E-09,3.82E-08,-5.51E+00,6.67E+03,1.03E-08,1.42E-08,3.75E-08,4.01E-08,7.07E+01,2.89E-09,4.16E-08,4.33E-08,8.83E+01,2.09E+00,2.09E+00,2.09E+00,2.09E+00
1.16E-07,7.92E-08,1.41E-07,3.56E+01,6.67E+03,1.62E-08,-4.76E-08,1.33E-07,1.43E-07,1.12E+02,-8.70E-08,1.14E-07,1.44E-07,1.28E+02,2.09E+00,2.09E+00,2.08E+00,2.08E+00
3.43E-08,1.99E-08,3.97E-08,3.01E+01,6.67E+03,1.71E-08,-7.52E-09,3.83E-08,3.90E-08,9.77E+01,-1.50E-08,3.53E-08,3.79E-08,1.09E+02,2.09E+00,2.09E+00,2.09E+00,2.08E+00
3.50E-08,1.97E-08,4.01E-08,2.94E+01,6.67E+03,1.71E-08,-1.35E-08,4.00E-08,4.50E-08,1.14E+02,-2.86E-08,3.48E-08,5.21E-08,1.39E+02,2.09E+00,2.09E+00,2.09E+00,2.09E+00
6.09E-08,-5.31E-09,6.11E-08,-4.98E+00,6.67E+03,1.72E-08,2.17E-08,5.97E-08,6.35E-08,7.02E+01,4.98E-09,6.46E-08,6.48E-08,8.55E+01,2.09E+00,2.09E+00,2.09E+00,2.08E+00
