2024-10-25,17:30:45,Sample Rate(S):,0.100
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
2.5994300000e-08,1.5845600000e-08,3.0443200000e-08,3.1366000000e+01,6.6660000000e+03,4.2997000000e-09,3.2761200000e-08,-1.6111600000e-09,3.3980700000e-08,-2.3090000000e+00,3.3103100000e-08,7.6723800000e-09,3.5097800000e-08,1.3721000000e+01,2.0860000000e+00,2.0870000000e+00,2.0870000000e+00,2.0870000000e+00
3.3826700000e-09,2.5450100000e-08,2.5675100000e-08,8.2429000000e+01,6.6660000000e+03,4.4356700000e-09,1.5917000000e-08,1.8767900000e-08,2.4610000000e-08,5.1875000000e+01,9.1132300000e-09,2.1715100000e-08,2.3551500000e-08,6.9656000000e+01,2.0880000000e+00,2.0890000000e+00,2.0840000000e+00,2.0790000000e+00
-2.0686100000e-09,-1.0703800000e-08,1.0910800000e-08,-9.1844000000e+01,6.6660000000e+03,4.5672700000e-09,-5.4774700000e-09,-7.3813700000e-09,7.9448700000e-09,-1.1484000000e+02,-1.3059900000e-09,-6.8341400000e-09,7.2266300000e-09,-7.1375000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0870000000e+00
-5.6563900000e-09,-1.9627100000e-08,2.0433700000e-08,-1.0607700000e+02,6.6660000000e+03,4.5130300000e-09,-1.6808600000e-08,-1.1075600000e-08,1.9912400000e-08,-1.5293800000e+02,-1.4691800000e-08,-1.1535100000e-08,1.9716600000e-08,-1.4417000000e+02,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0780000000e+00
-2.2932400000e-08,-2.7890700000e-09,2.3101400000e-08,-1.7306600000e+02,6.6660000000e+03,4.7458900000e-09,-1.9801500000e-08,1.0432300000e-08,2.1580600000e-08,1.5210800000e+02,-2.1066300000e-08,4.6832700000e-09,2.0732700000e-08,1.6712500000e+02,2.0880000000e+00,2.0870000000e+00,2.0870000000e+00,2.0790000000e+00
1.2936500000e-08,7.9243400000e-09,1.5170600000e-08,3.1490000000e+01,6.6660000000e+03,4.6821600000e-09,1.5791000000e-08,-9.2891100000e-10,1.6346700000e-08,-2.9900000000e+00,1.5967100000e-08,3.5013900000e-09,1.7172800000e-08,1.4800000000e+01,2.0860000000e+00,2.0870000000e+00,2.0830000000e+00,2.0870000000e+00
1.2282400000e-08,1.2682400000e-08,1.7656100000e-08,4.8074000000e+01,6.6660000000e+03,4.3313900000e-09,1.7979500000e-08,4.2626200000e-09,1.9159900000e-08,1.5325000000e+01,1.6476700000e-08,9.7766400000e-09,1.9907200000e-08,3.4369000000e+01,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
-2.5268800000e-09,-2.4466600000e-08,2.4596700000e-08,-9.5897000000e+01,6.6660000000e+03,3.8872500000e-09,-1.5374000000e-08,-1.7996500000e-08,2.2607000000e-08,-1.3035900000e+02,-9.5544400000e-09,-2.0488600000e-08,2.0047500000e-08,-1.1454400000e+02,2.0880000000e+00,2.0870000000e+00,2.0830000000e+00,2.0780000000e+00
-1.3608800000e-08,-2.3916900000e-08,2.7517700000e-08,-1.2060100000e+02,6.6660000000e+03,3.8736200000e-09,-2.4081300000e-08,-1.1057300000e-08,2.5856700000e-08,-1.5586700000e+02,-1.9954200000e-08,-1.5810300000e-08,2.5130500000e-08,-1.4101400000e+02,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0870000000e+00
6.4906500000e-11,-1.0012500000e-08,1.0013400000e-08,-8.7549000000e+01,6.6660000000e+03,3.8062500000e-09,-5.6536800000e-09,-8.9480100000e-09,1.1223900000e-08,-1.2101100000e+02,-3.0282700000e-09,-1.1445800000e-08,1.1867900000e-08,-1.0679500000e+02,2.0860000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
2.9291600000e-09,1.2174100000e-08,1.2525600000e-08,6.5631000000e+01,6.6660000000e+03,3.6241300000e-09,1.0125000000e-08,6.0584100000e-09,1.1433700000e-08,2.4346000000e+01,8.7908600000e-09,5.9291900000e-09,1.1172700000e-08,3.2081000000e+01,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0870000000e+00
1.6045700000e-08,1.4684800000e-08,2.1751000000e-08,4.2100000000e+01,6.6660000000e+03,3.3798700000e-09,2.2331100000e-08,2.8861400000e-09,2.2975800000e-08,7.2590000000e+00,2.1208900000e-08,8.8358800000e-09,2.3451300000e-08,2.2301000000e+01,2.0860000000e+00,2.0870000000e+00,2.0870000000e+00,2.0870000000e+00
1.3066800000e-08,1.8417200000e-09,1.3196500000e-08,1.1348000000e+01,6.6660000000e+03,3.7500300000e-09,1.2215100000e-08,-4.9934600000e-09,1.3300400000e-08,-2.2052000000e+01,1.3209400000e-08,-1.3059700000e-09,1.3219200000e-08,-5.3310000000e+00,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0800000000e+00
2.2322400000e-08,-1.0408300000e-09,2.2347100000e-08,-3.6500000000e-01,6.6660000000e+03,3.8197100000e-09,2.0397600000e-08,-1.4337000000e-08,2.6141300000e-08,-3.4191000000e+01,2.4741600000e-08,-8.4384500000e-09,2.7310100000e-08,-1.8014000000e+01,2.0860000000e+00,2.0900000000e+00,2.0880000000e+00,2.0880000000e+00
-2.5532000000e-08,4.5564800000e-08,5.2231200000e-08,1.1926400000e+02,6.6660000000e+03,3.8208400000e-09,4.0567400000e-09,5.1876100000e-08,5.2035200000e-08,8.6560000000e+01,-1.0687200000e-08,5.0635700000e-08,5.1003000000e-08,1.0394800000e+02,2.0880000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
-1.5726300000e-09,5.6040600000e-09,5.8208700000e-09,1.0766600000e+02,6.6660000000e+03,3.9272000000e-09,1.7503800000e-09,5.6995500000e-09,6.5966200000e-09,7.6858000000e+01,-2.5509200000e-10,6.5913900000e-09,7.1278300000e-09,9.3755000000e+01,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0870000000e+00
