2024-10-25,17:27:37,Sample Rate(S):,0.100
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
7.8905500000e-08,1.7544700000e-07,1.9238900000e-07,6.5785000000e+01,6.6600000000e+02,2.5399700000e-08,1.7653100000e-07,6.5805000000e-08,1.8842400000e-07,1.8002000000e+01,1.7291300000e-07,6.1356700000e-08,1.8350600000e-07,1.5405000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0890000000e+00
-3.5047300000e-08,-5.4167200000e-08,6.4543300000e-08,-1.2290400000e+02,6.6600000000e+02,2.5069800000e-08,-6.2915700000e-08,-1.8040000000e-08,6.5456400000e-08,-1.6047200000e+02,-5.8719400000e-08,-2.2613400000e-08,6.3062200000e-08,-1.5356900000e+02,2.0890000000e+00,2.0870000000e+00,2.0840000000e+00,2.0810000000e+00
6.6702800000e-08,1.0100700000e-07,1.2105100000e-07,5.6560000000e+01,6.6600000000e+02,2.3567300000e-08,1.1951400000e-07,3.0317200000e-08,1.2330400000e-07,1.5657000000e+01,1.1783200000e-07,3.6455200000e-08,1.2388900000e-07,1.9738000000e+01,2.0870000000e+00,2.0890000000e+00,2.0870000000e+00,2.0840000000e+00
4.0170700000e-08,1.9713400000e-07,2.0120400000e-07,7.8482000000e+01,6.6600000000e+02,2.1914000000e-08,1.6585000000e-07,1.1677100000e-07,2.0285100000e-07,3.0431000000e+01,1.7440300000e-07,1.0883100000e-07,2.0521100000e-07,2.9190000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
-1.0201500000e-08,-1.8653000000e-08,2.1277900000e-08,-1.2202700000e+02,6.6600000000e+02,2.3329400000e-08,-2.1443500000e-08,-6.2809800000e-09,1.8959200000e-08,-1.7120900000e+02,-1.8631600000e-08,-3.3944300000e-09,1.7988100000e-08,1.7905200000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
6.5056600000e-08,5.5373100000e-08,8.5437200000e-08,4.0403000000e+01,6.6600000000e+02,2.3399000000e-08,8.5905100000e-08,-6.3829700000e-09,8.6144200000e-08,-4.9260000000e+00,8.7511300000e-08,-5.1856500000e-09,8.7687200000e-08,-6.4970000000e+00,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0880000000e+00
-4.0866400000e-08,6.6850400000e-10,4.0876500000e-08,1.7906300000e+02,6.6600000000e+02,2.3143800000e-08,-2.7428300000e-08,3.0061500000e-08,4.0740800000e-08,1.3240500000e+02,-2.5448500000e-08,2.6408100000e-08,3.5719000000e-08,1.2984400000e+02,2.0890000000e+00,2.0900000000e+00,2.0850000000e+00,2.0810000000e+00
1.3797200000e-07,1.6884700000e-08,1.3900100000e-07,6.9770000000e+00,6.6600000000e+02,2.4201100000e-08,1.0867900000e-07,-8.0308200000e-08,1.3516500000e-07,-4.1643000000e+01,9.5188800000e-08,-8.0180600000e-08,1.1812000000e-07,-4.2200000000e+01,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0840000000e+00
1.9119600000e-08,-3.6385700000e-08,4.1135200000e-08,-6.2279000000e+01,6.6600000000e+02,2.3148600000e-08,-1.1424400000e-08,-4.2607600000e-08,4.7246200000e-08,-1.1140100000e+02,-1.6052600000e-08,-4.4424900000e-08,5.0048700000e-08,-1.0992200000e+02,2.0870000000e+00,2.0880000000e+00,2.0860000000e+00,2.0830000000e+00
6.3885900000e-08,-7.5985100000e-08,9.9274300000e-08,-4.9944000000e+01,6.6600000000e+02,2.1782900000e-08,-8.2992500000e-09,-1.0205200000e-07,1.0270400000e-07,-9.5544000000e+01,-7.1805200000e-09,-1.0245000000e-07,1.0629200000e-07,-9.6708000000e+01,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0830000000e+00
