2024-10-25,22:15:59,Sample Rate(S):,1.000
X,Y,R,Theta,Frequency,Noise,XH1,YH1,RH1,Theta H1,XH2,YH2,RH2,Theta H2,ADC1,ADC2,ADC3,ADC4
2.2204000000e-09,-1.7602100000e-08,1.7741600000e-08,-8.2810000000e+01,2.3260000000e+03,5.5343300000e-07,-1.2074300000e-08,-1.3238400000e-08,1.8271000000e-08,-1.3335400000e+02,1.5611700000e-08,9.4523900000e-09,1.8448000000e-08,3.0823000000e+01,2.0870000000e+00,2.0880000000e+00,2.0850000000e+00,2.0810000000e+00
3.9545200000e-08,1.3021600000e-09,3.9566700000e-08,1.5970000000e+00,2.3260000000e+03,1.6017200000e-07,2.6751700000e-08,-2.9143100000e-08,3.9553100000e-08,-4.7735000000e+01,-1.7907200000e-08,3.5267300000e-08,3.9546700000e-08,1.1663900000e+02,2.0870000000e+00,2.0900000000e+00,2.0880000000e+00,2.0890000000e+00
9.2293200000e-09,4.0963400000e-08,4.1990300000e-08,7.7303000000e+01,2.3260000000e+03,1.5449900000e-07,3.6844000000e-08,2.0035000000e-08,4.1939100000e-08,2.8820000000e+01,-4.0734800000e-08,-9.7603600000e-09,4.1887900000e-08,-1.6623800000e+02,2.0870000000e+00,2.0890000000e+00,2.0840000000e+00,2.0780000000e+00
-1.2064200000e-08,-3.3761500000e-09,1.2528100000e-08,-1.6593600000e+02,2.3260000000e+03,1.4662600000e-07,-1.0407500000e-08,8.0514100000e-09,1.3076100000e-08,1.4199300000e+02,7.8047700000e-09,-1.0847400000e-08,1.3274000000e-08,-5.6224000000e+01,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0880000000e+00
-2.5241900000e-08,-2.2634700000e-08,3.3904100000e-08,-1.3811700000e+02,2.3260000000e+03,1.3074600000e-07,-3.3596100000e-08,4.0943600000e-09,3.3844700000e-08,1.7326500000e+02,3.1304600000e-08,-1.2699100000e-08,3.3717000000e-08,-2.1869000000e+01,2.0880000000e+00,2.0890000000e+00,2.0870000000e+00,2.0860000000e+00
-4.7239100000e-08,-1.5188900000e-08,4.9620900000e-08,-1.6217600000e+02,2.3260000000e+03,1.1134300000e-07,-4.2521300000e-08,2.5665900000e-08,4.9712500000e-08,1.4899100000e+02,3.4311300000e-08,-3.5973100000e-08,4.9758000000e-08,-4.6249000000e+01,2.0870000000e+00,2.0870000000e+00,2.0840000000e+00,2.0790000000e+00
7.4163400000e-08,2.3524000000e-08,7.7804800000e-08,1.7599000000e+01,2.3260000000e+03,9.9699800000e-08,6.6328700000e-08,-4.0711800000e-08,7.7826400000e-08,-3.1633000000e+01,-5.3114100000e-08,5.6915000000e-08,7.7871700000e-08,1.3293200000e+02,2.0860000000e+00,2.0870000000e+00,2.0840000000e+00,2.0800000000e+00
-6.9000700000e-08,-3.2354800000e-08,7.6209800000e-08,-1.5487800000e+02,2.3260000000e+03,8.9692300000e-08,-6.9567100000e-08,3.0881500000e-08,7.6067500000e-08,1.5605600000e+02,5.8872900000e-08,-4.8168900000e-08,7.6023200000e-08,-3.9297000000e+01,2.0870000000e+00,2.0900000000e+00,2.0880000000e+00,2.0880000000e+00
4.6151600000e-08,-3.0272600000e-08,5.5194200000e-08,-3.3262000000e+01,2.3260000000e+03,7.7676400000e-08,7.2915900000e-09,-5.4675900000e-08,5.5160000000e-08,-8.2501000000e+01,7.5260600000e-09,5.4611300000e-08,5.5067800000e-08,8.1953000000e+01,2.0870000000e+00,2.0880000000e+00,2.0870000000e+00,2.0870000000e+00
1.9479700000e-08,5.4082800000e-08,5.7484000000e-08,7.0192000000e+01,2.3260000000e+03,6.7906800000e-08,5.3509000000e-08,2.0898500000e-08,5.7445300000e-08,2.1429000000e+01,-5.7101400000e-08,-6.0861000000e-09,5.7424800000e-08,-1.7381900000e+02,2.0870000000e+00,2.0890000000e+00,2.0860000000e+00,2.0800000000e+00
