Ê±¼ä - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	°ÚÂÖ½Ç¶È - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	
0	6.768	
0.02	7.992	
0.04	9.288	
0.06	10.584	
0.08	11.772	
0.1	12.996	
0.12	14.148	
0.14	15.228	
0.16	16.344	
0.18	17.352	
0.2	18.324	
0.22	19.224	
0.24	20.088	
0.26	20.844	
0.28	21.564	
0.3	22.248	
0.32	22.788	
0.34	23.292	
0.36	23.724	
0.38	24.048	
0.4	24.336	
0.42	24.516	
0.44	24.588	
0.46	24.624	
0.48	24.552	
0.5	24.444	
0.52	24.192	
0.54	23.904	
0.56	23.544	
0.58	23.112	
0.6	22.608	
0.62	22.032	
0.64	21.42	
0.66	20.664	
0.68	19.872	
0.7	19.044	
0.72	18.144	
0.74	17.244	
0.76	16.164	
0.78	15.084	
0.8	14.004	
0.82	12.816	
0.84	11.592	
0.86	10.368	
0.88	9.108	
0.9	7.884	
0.92	6.516	
0.94	5.22	
0.96	3.852	
0.98	2.484	
1	1.224	
1.02	-0.144	
1.04	-1.512	
1.06	-2.844	
1.08	-4.104	
1.1	-5.364	
1.12	-6.624	
1.14	-7.848	
1.16	-8.892	
1.18	-10.044	
1.2	-11.088	
1.22	-12.096	
1.24	-13.032	
1.26	-13.86	
1.28	-14.616	
1.3	-15.336	
1.32	-15.984	
1.34	-16.524	
1.36	-16.992	
1.38	-17.352	
1.4	-17.64	
1.42	-17.82	
1.44	-17.928	
1.46	-17.964	
1.48	-17.856	
1.5	-17.712	
1.52	-17.46	
1.54	-17.136	
1.56	-16.704	
1.58	-16.2	
1.6	-15.66	
1.62	-15.012	
1.64	-14.256	
1.66	-13.464	
1.68	-12.636	
1.7	-11.736	
1.72	-10.764	
1.74	-9.72	
1.76	-8.676	
1.78	-7.524	
1.8	-6.336	
1.82	-5.148	
1.84	-3.924	
1.86	-2.664	
1.88	-1.26	
1.9	0	
1.92	1.368	
1.94	2.664	
1.96	4.032	
1.98	5.328	
2	6.66	
2.02	7.992	
2.04	9.252	
2.06	10.476	
2.08	11.736	
2.1	12.996	
2.12	14.076	
2.14	15.264	
2.16	16.308	
2.18	17.316	
2.2	18.288	
2.22	19.188	
2.24	20.052	
2.26	20.808	
2.28	21.564	
2.3	22.212	
2.32	22.824	
2.34	23.292	
2.36	23.724	
2.38	24.084	
2.4	24.372	
2.42	24.552	
2.44	24.624	
2.46	24.66	
2.48	24.588	
2.5	24.48	
2.52	24.264	
2.54	23.976	
2.56	23.616	
2.58	23.184	
2.6	22.644	
2.62	22.104	
2.64	21.456	
2.66	20.736	
2.68	19.944	
2.7	19.152	
2.72	18.216	
2.74	17.28	
2.76	16.2	
2.78	15.156	
2.8	14.076	
2.82	12.888	
2.84	11.664	
2.86	10.404	
2.88	9.18	
2.9	7.848	
2.92	6.588	
2.94	5.22	
2.96	3.852	
2.98	2.556	
3	1.224	
3.02	-0.144	
3.04	-1.512	
3.06	-2.772	
3.08	-4.104	
3.1	-5.4	
3.12	-6.624	
3.14	-7.848	
3.16	-8.964	
3.18	-10.044	
3.2	-11.124	
3.22	-12.132	
3.24	-13.032	
3.26	-13.86	
3.28	-14.688	
3.3	-15.372	
3.32	-16.02	
3.34	-16.596	
3.36	-17.028	
3.38	-17.424	
3.4	-17.676	
3.42	-17.892	
3.44	-17.964	
3.46	-18	
3.48	-17.928	
3.5	-17.748	
3.52	-17.496	
3.54	-17.172	
3.56	-16.74	
3.58	-16.236	
3.6	-15.696	
3.62	-15.012	
3.64	-14.292	
3.66	-13.536	
3.68	-12.672	
3.7	-11.772	
3.72	-10.764	
3.74	-9.72	
3.76	-8.676	
3.78	-7.56	
3.8	-6.336	
3.82	-5.148	
3.84	-3.924	
3.86	-2.628	
3.88	-1.332	
3.9	-0.036	
3.92	1.332	
3.94	2.664	
3.96	4.032	
3.98	5.328	
4	6.696	
4.02	8.028	
4.04	9.288	
4.06	10.584	
4.08	11.772	
4.1	12.924	
4.12	14.184	
4.14	15.264	
4.16	16.344	
4.18	17.352	
4.2	18.288	
4.22	19.224	
4.24	20.088	
4.26	20.88	
4.28	21.6	
4.3	22.248	
4.32	22.824	
4.34	23.328	
4.36	23.76	
4.38	24.084	
4.4	24.372	
4.42	24.552	
4.44	24.66	
4.46	24.66	
4.48	24.624	
4.5	24.48	
4.52	24.264	
4.54	23.976	
4.56	23.616	
4.58	23.148	
4.6	22.68	
4.62	22.068	
4.64	21.456	
4.66	20.7	
4.68	19.98	
4.7	19.116	
4.72	18.18	
4.74	17.208	
4.76	16.2	
4.78	15.12	
4.8	14.04	
4.82	12.888	
4.84	11.664	
4.86	10.404	
4.88	9.18	
4.9	7.812	
4.92	6.516	
4.94	5.22	
4.96	3.852	
4.98	2.556	
5	1.188	
5.02	-0.252	
5.04	-1.548	
5.06	-2.808	
5.08	-4.14	
5.1	-5.364	
5.12	-6.624	
5.14	-7.776	
5.16	-9	
5.18	-10.116	
5.2	-11.124	
5.22	-12.132	
5.24	-13.032	
5.26	-13.86	
5.28	-14.652	
5.3	-15.372	
5.32	-16.02	
5.34	-16.56	
5.36	-17.028	
5.38	-17.388	
5.4	-17.676	
5.42	-17.856	
5.44	-17.964	
5.46	-17.964	
5.48	-17.892	
5.5	-17.748	
5.52	-17.46	
5.54	-17.1	
5.56	-16.704	
5.58	-16.236	
5.6	-15.66	
5.62	-15.012	
5.64	-14.292	
5.66	-13.5	
5.68	-12.672	
5.7	-11.736	
5.72	-10.728	
5.74	-9.72	
5.76	-8.676	
5.78	-7.488	
5.8	-6.336	
5.82	-5.112	
5.84	-3.924	
5.86	-2.628	
5.88	-1.296	
5.9	0	
5.92	1.26	
5.94	2.7	
5.96	3.996	
5.98	5.292	
6	6.66	
6.02	7.992	
6.04	9.288	
6.06	10.512	
6.08	11.772	
6.1	12.996	
6.12	14.184	
6.14	15.228	
6.16	16.308	
6.18	17.352	
6.2	18.324	
6.22	19.224	
6.24	20.088	
6.26	20.88	
6.28	21.564	
6.3	22.212	
6.32	22.788	
6.34	23.292	
6.36	23.724	
6.38	24.048	
6.4	24.336	
6.42	24.516	
6.44	24.624	
6.46	24.624	
6.48	24.588	
6.5	24.444	
6.52	24.228	
6.54	23.94	
6.56	23.58	
6.58	23.148	
6.6	22.644	
6.62	22.032	
6.64	21.42	
6.66	20.736	
6.68	19.908	
6.7	19.08	
6.72	18.144	
6.74	17.208	
6.76	16.236	
6.78	15.084	
6.8	14.004	
6.82	12.888	
6.84	11.664	
6.86	10.404	
6.88	9.18	
6.9	7.848	
6.92	6.516	
6.94	5.148	
6.96	3.852	
6.98	2.556	
7	1.188	
7.02	-0.252	
7.04	-1.548	
7.06	-2.808	
7.08	-4.14	
7.1	-5.364	
7.12	-6.588	
7.14	-7.812	
7.16	-8.964	
7.18	-10.008	
7.2	-11.124	
7.22	-12.06	
7.24	-12.96	
7.26	-13.86	
7.28	-14.652	
7.3	-15.336	
7.32	-15.984	
7.34	-16.488	
7.36	-16.992	
7.38	-17.352	
7.4	-17.64	
7.42	-17.82	
7.44	-17.928	
7.46	-17.928	
7.48	-17.856	
7.5	-17.712	
7.52	-17.46	
7.54	-17.1	
7.56	-16.704	
7.58	-16.2	
7.6	-15.624	
7.62	-15.012	
7.64	-14.22	
7.66	-13.464	
7.68	-12.6	
7.7	-11.7	
7.72	-10.764	
7.74	-9.72	
7.76	-8.64	
7.78	-7.488	
7.8	-6.336	
7.82	-5.148	
7.84	-3.852	
7.86	-2.628	
7.88	-1.296	
7.9	-0.036	
7.92	1.26	
7.94	2.664	
7.96	3.924	
7.98	5.328	
8	6.624	
8.02	8.064	
8.04	9.216	
8.06	10.512	
8.08	11.7	
8.1	12.924	
8.12	14.04	
8.14	15.192	
8.16	16.236	
8.18	17.28	
8.2	18.288	
8.22	19.188	
8.24	20.016	
8.26	20.808	
8.28	21.528	
8.3	22.212	
8.32	22.752	
8.34	23.256	
8.36	23.688	
8.38	24.048	
8.4	24.3	
8.42	24.48	
8.44	24.588	
8.46	24.624	
8.48	24.588	
8.5	24.444	
8.52	24.228	
8.54	23.94	
8.56	23.58	
8.58	23.148	
8.6	22.644	
8.62	22.068	
8.64	21.42	
8.66	20.736	
8.68	19.944	
8.7	19.116	
8.72	18.216	
8.74	17.244	
8.76	16.2	
8.78	15.156	
8.8	14.04	
8.82	12.888	
8.84	11.664	
8.86	10.404	
8.88	9.18	
8.9	7.92	
8.92	6.588	
8.94	5.184	
8.96	3.924	
8.98	2.556	
9	1.26	
9.02	-0.144	
9.04	-1.476	
9.06	-2.808	
9.08	-4.104	
9.1	-5.328	
9.12	-6.552	
9.14	-7.812	
9.16	-8.856	
9.18	-10.044	
9.2	-11.052	
9.22	-12.06	
9.24	-12.96	
9.26	-13.824	
9.28	-14.616	
9.3	-15.336	
9.32	-15.948	
9.34	-16.524	
9.36	-16.956	
9.38	-17.352	
9.4	-17.64	
9.42	-17.82	
9.44	-17.928	
9.46	-17.964	
9.48	-17.856	
9.5	-17.712	
9.52	-17.46	
9.54	-17.1	
9.56	-16.704	
9.58	-16.2	
9.6	-15.624	
9.62	-15.012	
9.64	-14.292	
9.66	-13.536	
9.68	-12.6	
9.7	-11.772	
9.72	-10.764	
9.74	-9.72	
9.76	-8.676	
9.78	-7.524	
9.8	-6.408	
9.82	-5.184	
9.84	-3.924	
9.86	-2.7	
9.88	-1.368	
9.9	-0.036	
9.92	1.26	
9.94	2.628	
9.96	3.96	
9.98	5.256	
10	6.624	
10.02	7.884	
10.04	9.216	
10.06	10.476	
10.08	11.7	
10.1	12.888	
10.12	14.04	
10.14	15.228	
10.16	16.236	
10.18	17.244	
10.2	18.252	
10.22	19.188	
10.24	19.98	
10.26	20.844	
10.28	21.492	
10.3	22.176	
10.32	22.752	
10.34	23.256	
10.36	23.688	
10.38	24.012	
10.4	24.3	
10.42	24.48	
10.44	24.588	
10.46	24.624	
10.48	24.552	
10.5	24.408	
10.52	24.228	
10.54	23.904	
10.56	23.544	
10.58	23.112	
10.6	22.644	
10.62	22.032	
10.64	21.384	
10.66	20.7	
10.68	19.872	
10.7	19.08	
10.72	18.18	
10.74	17.208	
10.76	16.236	
10.78	15.156	
10.8	14.04	
10.82	12.888	
10.84	11.664	
10.86	10.44	
10.88	9.18	
10.9	7.848	
10.92	6.516	
10.94	5.22	
10.96	3.852	
10.98	2.556	
11	1.188	
11.02	-0.18	
11.04	-1.512	
11.06	-2.808	
11.08	-4.068	
11.1	-5.364	
11.12	-6.552	
11.14	-7.74	
11.16	-8.928	
11.18	-10.044	
11.2	-11.052	
11.22	-12.024	
11.24	-12.996	
11.26	-13.788	
11.28	-14.616	
11.3	-15.336	
11.32	-15.948	
11.34	-16.524	
11.36	-16.992	
11.38	-17.352	
11.4	-17.64	
11.42	-17.82	
11.44	-17.928	
11.46	-17.964	
11.48	-17.892	
11.5	-17.712	
11.52	-17.46	
11.54	-17.1	
11.56	-16.704	
11.58	-16.236	
11.6	-15.66	
11.62	-15.048	
11.64	-14.292	
11.66	-13.5	
11.68	-12.636	
11.7	-11.736	
11.72	-10.728	
11.74	-9.72	
11.76	-8.676	
11.78	-7.524	
11.8	-6.336	
11.82	-5.112	
