Ê±¼ä - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	°ÚÂÖ½Ç¶È - °ÚÂÖ½Ç¶ÈÊ±ÐòÍ¼	
0	2.772	
0.02	2.664	
0.04	2.556	
0.06	2.484	
0.08	2.376	
0.1	2.304	
0.12	2.232	
0.14	2.196	
0.16	2.124	
0.18	2.088	
0.2	2.088	
0.22	2.052	
0.24	2.052	
0.26	2.052	
0.28	2.052	
0.3	2.052	
0.32	2.088	
0.34	2.124	
0.36	2.16	
0.38	2.196	
0.4	2.232	
0.42	2.268	
0.44	2.304	
0.46	2.34	
0.48	2.376	
0.5	2.412	
0.52	2.448	
0.54	2.484	
0.56	2.52	
0.58	2.556	
0.6	2.592	
0.62	2.592	
0.64	2.628	
0.66	2.628	
0.68	2.628	
0.7	2.664	
0.72	2.664	
0.74	2.664	
0.76	2.628	
0.78	2.628	
0.8	2.628	
0.82	2.628	
0.84	2.592	
0.86	2.592	
0.88	2.592	
0.9	2.556	
0.92	2.556	
0.94	2.556	
0.96	2.52	
0.98	2.52	
1	2.52	
1.02	2.484	
1.04	2.484	
1.06	2.484	
1.08	2.484	
1.1	2.484	
1.12	2.484	
1.14	2.484	
1.16	2.484	
1.18	2.484	
1.2	2.484	
1.22	2.484	
1.24	2.484	
1.26	2.484	
1.28	2.484	
1.3	2.484	
1.32	2.484	
1.34	2.484	
1.36	2.484	
1.38	2.484	
1.4	2.484	
1.42	2.484	
1.44	2.484	
1.46	2.484	
1.48	2.484	
1.5	2.484	
1.52	2.484	
1.54	2.484	
1.56	2.484	
1.58	2.484	
1.6	2.484	
1.62	2.484	
1.64	2.484	
1.66	2.484	
1.68	2.484	
1.7	2.484	
1.72	2.484	
1.74	2.484	
1.76	2.484	
1.78	2.484	
1.8	2.484	
1.82	2.484	
1.84	2.484	
1.86	2.484	
1.88	2.484	
1.9	2.484	
1.92	2.484	
1.94	2.484	
1.96	2.484	
1.98	2.484	
2	2.484	
2.02	2.484	
2.04	2.484	
2.06	2.484	
2.08	2.484	
2.1	2.484	
2.12	2.484	
2.14	2.484	
2.16	2.484	
2.18	2.484	
2.2	2.484	
2.22	2.484	
2.24	2.484	
2.26	2.484	
2.28	2.484	
2.3	2.484	
2.32	2.484	
2.34	2.484	
2.36	2.484	
2.38	2.484	
2.4	2.484	
2.42	2.484	
2.44	2.484	
2.46	2.484	
2.48	2.484	
2.5	2.484	
2.52	2.484	
2.54	2.484	
2.56	2.484	
2.58	2.484	
2.6	2.484	
2.62	2.484	
2.64	2.484	
2.66	2.484	
2.68	2.484	
2.7	2.484	
2.72	2.484	
2.74	2.484	
2.76	2.484	
2.78	2.484	
2.8	2.484	
2.82	2.484	
2.84	2.484	
2.86	2.484	
2.88	2.484	
2.9	2.484	
2.92	2.484	
2.94	2.484	
2.96	2.484	
2.98	2.484	
3	2.484	
3.02	2.484	
3.04	2.484	
3.06	2.484	
3.08	2.484	
3.1	2.484	
3.12	2.484	
3.14	2.484	
3.16	2.484	
3.18	2.484	
3.2	2.484	
3.22	2.484	
3.24	2.484	
3.26	2.484	
3.28	2.484	
3.3	2.484	
3.32	2.484	
3.34	2.484	
3.36	2.484	
3.38	2.484	
3.4	2.484	
3.42	2.484	
3.44	2.484	
3.46	2.484	
3.48	2.484	
