# Wavelength (nm)	Smoothed Intensity
299.383362	5.298820
299.552002	5.416411
299.720612	5.535701
299.889191	5.625052
300.057800	5.740845
300.226379	5.861490
300.394958	5.984803
300.563538	6.102152
300.732117	6.218311
300.900696	6.330433
301.069244	6.442222
301.237793	6.580153
301.406342	6.690453
301.574890	6.817965
301.743408	6.945066
301.911957	7.051536
302.080475	7.187354
302.248993	7.305560
302.417480	7.440129
302.585999	7.570068
302.754486	7.714697
302.922974	7.849788
303.091461	7.979565
303.259949	8.112999
303.428436	8.248695
303.596893	8.363590
303.765350	8.485956
303.933807	8.630570
304.102264	8.769019
304.270691	8.926596
304.439117	9.070956
304.607574	9.187515
304.776001	9.308001
304.944397	9.452894
305.112823	9.576593
305.281219	9.715801
305.449615	9.857857
305.618011	10.000496
305.786407	10.146851
305.954773	10.285659
306.123169	10.421022
306.291534	10.545555
306.459900	10.688246
306.628235	10.833013
306.796600	10.976832
306.964935	11.123165
307.133270	11.280090
307.301605	11.404765
307.469940	11.556590
307.638245	11.675734
307.806580	11.825390
307.974884	11.984671
308.143188	12.132442
308.311462	12.276465
308.479767	12.424089
308.648041	12.574599
308.816315	12.708819
308.984589	12.846838
309.152863	12.965300
309.321106	13.093366
309.489380	13.233869
309.657623	13.379751
309.825867	13.521271
309.994080	13.653099
310.162323	13.798001
310.330536	13.935572
310.498749	14.069180
310.666962	14.210604
310.835175	14.336720
311.003357	14.482735
311.171539	14.618831
311.339752	14.753508
311.507904	14.888429
311.676086	15.014934
311.844238	15.150752
312.012421	15.279592
312.180573	15.421184
312.348724	15.551934
312.516846	15.685955
312.684998	15.832828
312.853119	15.964504
313.021240	16.101192
313.189362	16.239643
313.357452	16.368992
313.525574	16.493631
313.693665	16.631504
313.861755	16.750138
314.029846	16.858312
314.197937	16.985902
314.365997	17.103081
314.534058	17.216405
314.702118	17.331611
314.870178	17.470013
315.038239	17.578922
315.206268	17.696084
315.374298	17.810855
315.542328	17.937074
315.710358	18.063463
315.878357	18.190921
316.046387	18.295124
316.214386	18.412139
316.382385	18.540815
316.550385	18.654565
316.718353	18.781343
316.886353	18.892587
317.054321	18.996558
317.222290	19.111456
317.390259	19.257743
317.558197	19.379099
317.726135	19.471847
317.894104	19.580161
318.062012	19.696090
318.229950	19.791560
318.397888	19.931077
318.565796	20.036607
318.733704	20.143152
318.901611	20.240089
319.069519	20.324667
319.237396	20.427544
319.405304	20.532263
319.573181	20.616120
319.741058	20.688692
319.908905	20.780120
320.076782	20.849420
320.244629	20.953300
320.412476	21.021669
320.580322	21.107660
320.748169	21.194590
320.915985	21.288346
321.083801	21.403615
321.251617	21.502738
321.419434	21.600416
321.587250	21.698220
321.755035	21.761655
321.922821	21.866469
322.090607	21.943148
322.258392	22.023465
322.426178	22.133693
322.593933	22.232711
322.761719	22.308927
322.929474	22.404003
323.097198	22.508241
323.264954	22.592244
323.432678	22.687631
323.600403	22.771364
323.768127	22.873301
323.935852	22.975263
324.103577	23.042003
324.271271	23.126803
