# Wavelength (nm)	Smoothed Intensity
299.383362	2.823713
299.552002	2.899375
299.720612	2.976124
299.889191	3.053935
300.057800	3.132786
300.226379	3.212652
300.394958	3.293509
300.563538	3.375334
300.732117	3.458102
300.900696	3.541791
301.069244	3.626377
301.237793	3.711834
301.406342	3.798141
301.574890	3.885272
301.743408	3.973205
301.911957	4.061915
302.080475	4.151379
302.248993	4.241572
302.417480	4.332472
302.585999	4.424054
302.754486	4.563072
302.922974	4.656570
303.091461	4.749985
303.259949	4.843008
303.428436	4.937007
303.596893	5.031689
303.765350	5.126269
303.933807	5.222039
304.102264	5.319011
304.270691	5.417368
304.439117	5.515459
304.607574	5.614364
304.776001	5.713415
304.944397	5.813101
305.112823	5.913395
305.281219	6.014070
305.449615	6.115734
305.618011	6.217703
305.786407	6.321050
305.954773	6.425540
306.123169	6.531574
306.291534	6.637875
306.459900	6.745194
306.628235	6.852858
306.796600	6.960604
306.964935	7.068666
307.133270	7.176912
307.301605	7.285548
307.469940	7.393888
307.638245	7.502708
307.806580	7.612435
307.974884	7.722755
308.143188	7.832885
308.311462	7.943356
308.479767	8.053402
308.648041	8.163104
308.816315	8.272962
308.984589	8.382758
309.152863	8.492594
309.321106	8.601711
309.489380	8.711368
309.657623	8.820954
309.825867	8.930512
309.994080	9.040006
310.162323	9.149537
310.330536	9.258779
310.498749	9.368960
310.666962	9.478915
310.835175	9.589061
311.003357	9.698506
311.171539	9.808016
311.339752	9.917135
311.507904	10.026305
311.676086	10.135564
311.844238	10.245106
312.012421	10.354698
312.180573	10.463292
312.348724	10.571742
312.516846	10.678921
312.684998	10.785971
312.853119	10.891623
313.021240	10.996446
313.189362	11.101009
313.357452	11.204772
313.525574	11.308301
313.693665	11.410974
313.861755	11.512749
314.029846	11.613044
314.197937	11.713719
314.365997	11.814412
314.534058	11.914462
314.702118	12.013435
314.870178	12.112574
315.038239	12.211119
315.206268	12.309162
315.374298	12.407361
315.542328	12.505891
315.710358	12.604177
315.878357	12.702598
316.046387	12.801232
316.214386	12.898699
316.382385	12.997332
316.550385	13.096117
316.718353	13.195085
316.886353	13.293204
317.054321	13.391646
317.222290	13.489265
317.390259	13.587126
317.558197	13.683586
317.726135	13.778129
317.894104	13.872002
318.062012	13.965856
318.229950	14.058485
318.397888	14.151256
318.565796	14.242267
318.733704	14.331772
318.901611	14.420813
319.069519	14.508573
319.237396	14.595676
319.405304	14.681945
319.573181	14.768404
319.741058	14.853469
319.908905	14.937501
320.076782	15.020791
320.244629	15.103155
320.412476	15.184861
320.580322	15.266455
320.748169	15.348191
320.915985	15.429134
321.083801	15.510146
321.251617	15.590240
321.419434	15.670472
321.587250	15.749998
321.755035	15.829594
321.922821	15.909170
322.090607	15.988173
322.258392	16.066555
322.426178	16.145516
322.593933	16.223805
322.761719	16.301413
322.929474	16.378868
323.097198	16.454778
323.264954	16.529090
323.432678	16.602151
323.600403	16.675329
323.768127	16.747108
323.935852	16.817985
324.103577	16.886826
324.271271	16.955374
324.438965	17.024480
324.606659	17.093112
324.774353	17.160278
324.942047	17.227047
325.109711	17.291412
325.277374	17.355950
325.445038	17.421314
325.612701	17.485739
325.780334	17.549018
325.947968	17.612590
326.115631	17.674877
326.283234	17.735771
326.450867	17.797754
326.618500	17.859722
326.786102	17.921661
326.953705	17.983448
327.121307	18.045903
327.288879	18.108195
327.456482	18.172240
327.624054	18.235937
327.791626	18.298688
327.959198	18.361673
328.126770	18.425020
328.294312	18.487810
328.461853	18.551416
328.629395	18.615285
328.796936	18.679336
328.964478	18.743339
329.131989	18.806977
329.299500	18.869195
329.467010	18.932082
329.634521	18.995232
329.802002	19.058019
329.969513	19.121372
330.136993	19.184303
330.304474	19.247006
330.471954	19.308784
330.639404	19.369968
330.806854	19.430278
330.974335	19.490861
331.141754	19.551032
331.309204	19.610641
331.476654	19.669860
331.644073	19.729981
331.811493	19.789615
331.978912	19.847789
332.146332	19.902932
332.313721	19.956569
332.481110	20.009889
332.648499	20.062817
332.815887	20.115031
332.983276	20.166200
333.150635	20.216098
333.317993	20.265635
333.485352	20.314841
333.652710	20.362552
333.820068	20.408858
333.987396	20.454942
334.154724	20.498343
334.322052	20.541262
334.489380	20.583588
334.656708	20.625347
334.824005	20.665886
334.991302	20.705626
335.158600	20.744363
335.325897	20.782909
335.493164	20.821190
335.660431	20.859347
335.827728	20.896996
335.994965	20.935551
336.162231	20.973382
336.329498	21.011643
336.496735	21.050008
336.663971	21.087617
336.831207	21.126135
336.998413	21.164593
337.165649	21.204318
337.332855	21.244603
337.500061	21.286888
337.667267	21.328407
337.834442	21.369950
338.001648	21.411680
338.168823	21.453969
338.335999	21.495027
338.503174	21.536605
338.670319	21.577674
338.837494	21.619773
339.004639	21.662873
339.171783	21.706266
339.338898	21.748911
339.506042	21.791829
339.673157	21.835928
339.840271	21.879725
340.007385	21.922907
340.174500	21.964765
340.341583	22.007459
340.508667	22.049947
340.675751	22.090729
340.842834	22.130464
341.009918	22.169286
341.176971	22.207310
341.344055	22.243860
341.511108	22.280150
341.678131	22.316371
341.845184	22.351966
342.012207	22.387179
342.179230	22.421583
342.346252	22.455023
342.513275	22.488391
342.680298	22.520018
342.847290	22.551579
343.014282	22.581590
343.181274	22.611010
343.348267	22.640229
343.515228	22.668863
343.682190	22.696506
343.849152	22.723436
344.016113	22.750775
344.183075	22.777454
344.350006	22.804622
344.516968	22.832072
344.683899	22.860117
344.850800	22.887586
345.017731	22.915388
345.184631	22.942219
345.351532	22.969210
345.518433	22.996705
345.685333	23.024288
345.852234	23.051383
346.019104	23.079370
346.185974	23.107163
346.352844	23.133605
346.519714	23.160212
346.686554	23.186648
346.853424	23.212870
347.020264	23.238418
347.187073	23.263477
347.353912	23.287689
347.520721	23.312037
347.687561	23.336219
347.854370	23.359801
348.021179	23.383289
348.187958	23.405709
348.354736	23.427548
348.521545	23.450011
348.688324	23.471971
348.855072	23.494323
349.021851	23.516618
349.188599	23.537943
349.355347	23.559830
349.522095	23.581382
349.688843	23.602954
349.855560	23.624516
350.022308	23.646444
350.189026	23.668699
350.355743	23.691788
350.522430	23.715012
350.689148	23.738042
350.855835	23.761374
351.022522	23.784580
351.189209	23.807564
351.355865	23.830142
351.522522	23.853649
351.689209	23.877343
351.855865	23.901692
352.022491	23.926636
352.189148	23.950885
352.355774	23.974747
352.522400	23.999283
352.689026	24.022828
352.855652	24.046697
353.022247	24.071521
353.188843	24.096191
353.355438	24.120209
353.522034	24.144525
353.688629	24.168093
353.855194	24.191786
354.021759	24.216340
354.188324	24.240281
354.354889	24.263575
354.521454	24.287333
354.687988	24.311112
354.854523	24.335251
355.021057	24.358950
355.187592	24.382130
355.354095	24.404869
355.520599	24.426901
355.687134	24.448308
355.853607	24.469441
356.020111	24.490768
356.186584	24.511178
356.353088	24.531319
356.519562	24.551479
356.686005	24.571207
356.852478	24.590168
357.018921	24.608326
357.185364	24.625580
357.351807	24.642220
357.518250	24.658336
357.684692	24.675239
357.851105	24.691745
358.017517	24.708185
358.183929	24.724046
358.350311	24.740058
358.516724	24.755262
358.683105	24.769651
358.849487	24.784502
359.015869	24.799337
359.182220	24.813819
359.348602	24.828853
359.514954	24.844000
359.681305	24.859636
359.847656	24.874869
360.013977	24.891327
360.180298	24.907355
360.346649	24.924610
360.512939	24.941209
360.679260	24.958046
360.845581	24.975410
361.011871	24.992572
361.178162	25.009670
361.344452	25.027084
361.510712	25.044589
361.677002	25.063013
361.843262	25.081275
362.009521	25.099599
362.175751	25.117357
362.342010	25.135818
362.508240	25.154794
362.674469	25.172551
362.840698	25.190073
363.006927	25.206933
363.173126	25.223324
363.339325	25.239485
363.505524	25.255773
363.671722	25.271387
363.837921	25.288241
364.004089	25.304917
364.170258	25.321416
364.336426	25.336831
364.502594	25.352223
364.668762	25.366788
364.834900	25.380807
365.001038	25.392656
365.167175	25.405141
365.333282	25.418422
365.499420	25.431510
365.665527	25.444407
365.831635	25.456479
365.997742	25.468821
366.163818	25.481982
366.329926	25.494986
366.496002	25.507778
366.662079	25.519343
366.828156	25.530975
366.994202	25.542244
367.160248	25.553523
367.326294	25.564171
367.492340	25.574923
367.658386	25.586673
367.824402	25.598262
367.990448	25.609803
368.156464	25.621342
368.322449	25.633233
368.488464	25.644801
368.654449	25.656741
368.820435	25.669623
368.986420	25.682614
369.152405	25.695984
369.318390	25.710257
369.484344	25.723814
369.650299	25.738089
369.816254	25.752876
369.982178	25.767931
370.148132	25.783367
370.314056	25.799331
370.479980	25.815010
370.645905	25.831442
370.811798	25.848128
370.977692	25.864401
371.143616	25.880725
371.309479	25.896965
371.475372	25.913575
371.641266	25.931913
371.807129	25.950149
371.972992	25.967130
372.138855	25.982959
372.304688	25.999276
372.470551	26.015695
372.636383	26.031442
372.802216	26.046866
372.968018	26.060219
373.133850	26.073277
373.299652	26.086430
373.465454	26.098606
373.631256	26.110578
373.797058	26.122562
373.962830	26.133599
374.128601	26.144460
374.294373	26.155319
374.460144	26.166260
374.625916	26.178448
374.791656	26.190409
374.957397	26.201721
375.123138	26.213402
375.288879	26.225157
375.454590	26.237388
375.620331	26.248665
375.786041	26.259906
375.951721	26.270539
376.117432	26.281687
376.283112	26.293465
376.448822	26.305737
376.614471	26.318137
376.780151	26.330324
376.945831	26.342272
377.111481	26.353657
377.277130	26.365381
377.442780	26.376503
377.608429	26.387006
377.774048	26.396570
377.939667	26.405171
378.105286	26.413593
378.270905	26.420416
378.436523	26.426329
378.602112	26.432321
378.767700	26.438101
378.933289	26.442381
379.098877	26.446511
379.264435	26.450961
379.429993	26.454032
379.595551	26.458289
379.761108	26.462345
379.926666	26.466297
380.092194	26.471359
380.257721	26.476994
380.423248	26.482960
380.588776	26.490168
380.754272	26.498297
380.919800	26.506853
381.085297	26.516925
381.250793	26.526466
381.416260	26.536581
381.581757	26.548434
381.747223	26.561213
381.912689	26.575299
382.078125	26.589804
382.243591	26.605809
382.409027	26.621584
382.574463	26.637511
382.739899	26.655165
382.905334	26.672163
383.070740	26.688358
383.236176	26.704925
383.401581	26.721644
383.566956	26.738399
383.732361	26.755409
383.897736	26.771993
384.063110	26.787266
384.228485	26.802082
384.393860	26.816666
384.559204	26.831415
384.724579	26.845772
384.889923	26.861086
385.055237	26.875745
385.220581	26.889850
385.385895	26.903171
385.551239	26.916693
385.716522	26.930291
385.881836	26.943802
386.047150	26.957074
386.212433	26.970236
386.377716	26.983485
386.542999	26.996566
386.708252	27.009307
386.873535	27.021051
387.038788	27.032139
387.204041	27.043363
387.369293	27.055602
387.534515	27.068698
387.699738	27.080447
387.864960	27.092824
388.030182	27.104136
388.195404	27.113083
388.360596	27.120729
388.525787	27.126413
388.690979	27.131214
388.856171	27.135460
389.021362	27.139515
389.186523	27.143573
389.351685	27.146099
389.516846	27.148530
389.682007	27.152533
389.847137	27.155375
390.012268	27.158237
390.177399	27.161214
390.342529	27.164649
390.507629	27.166227
390.672760	27.167544
390.837860	27.168970
391.002960	27.170889
391.168030	27.173758
391.333130	27.177281
391.498199	27.180773
391.663269	27.185755
391.828339	27.192172
391.993378	27.200373
392.158447	27.208908
392.323486	27.217628
392.488525	27.226361
392.653534	27.236964
