时间 - 曲线 0	幅值 - 曲线 0
0	35.5844
1	35.3247
2	35.3247
3	35.0649
4	35.0649
5	34.8052
6	35.0649
7	35.0649
8	35.0649
9	35.0649
10	35.0649
11	35.0649
12	34.8052
13	35.0649
14	34.8052
15	35.0649
16	35.3247
17	35.3247
18	35.3247
19	35.3247
20	35.0649
21	34.8052
22	34.8052
23	34.8052
24	35.0649
25	35.3247
26	35.3247
27	35.3247
28	35.5844
29	35.3247
30	35.3247
31	35.0649
32	35.0649
33	34.8052
34	34.8052
35	34.5455
36	34.8052
37	35.0649
38	35.0649
39	35.5844
40	35.5844
41	35.3247
42	35.3247
43	35.3247
44	35.3247
45	35.3247
46	34.8052
47	34.8052
48	34.8052
49	35.0649
50	34.8052
51	35.3247
52	35.3247
53	35.3247
54	35.3247
55	35.3247
56	35.0649
57	35.0649
58	34.8052
59	35.0649
60	34.8052
61	35.0649
62	35.3247
63	35.3247
64	35.3247
65	35.0649
66	34.8052
67	35.0649
68	34.8052
69	34.8052
70	35.0649
71	35.0649
72	35.3247
73	35.5844
74	35.3247
75	35.3247
76	35.0649
77	35.0649
78	35.0649
79	35.0649
80	34.8052
81	34.8052
82	34.8052
83	34.8052
84	35.0649
85	35.3247
86	35.5844
87	35.5844
88	35.5844
89	35.5844
90	35.0649
91	35.0649
92	35.0649
93	35.0649
94	35.0649
95	34.8052
96	34.8052
97	34.8052
98	34.8052
99	35.0649
100	35.5844
101	35.5844
102	35.5844
103	35.3247
104	35.3247
105	35.3247
106	35.0649
107	34.8052
108	34.8052
109	35.0649
110	35.0649
111	35.3247
112	35.3247
113	35.3247
114	35.0649
115	35.0649
116	34.8052
117	34.8052
118	34.8052
119	35.0649
120	35.0649
121	35.0649
122	35.3247
123	35.3247
124	35.3247
125	35.3247
126	35.0649
127	35.0649
128	34.8052
129	34.8052
130	34.8052
131	35.0649
132	35.3247
133	35.5844
134	35.5844
135	35.3247
136	35.0649
137	35.0649
138	35.0649
139	35.0649
140	35.0649
141	34.8052
142	34.8052
143	35.0649
144	35.0649
145	35.0649
146	35.0649
147	35.0649
148	34.8052
149	35.0649
150	35.0649
151	35.0649
152	35.3247
153	35.3247
154	35.0649
155	35.0649
156	34.8052
157	34.8052
158	34.8052
159	35.0649
160	35.0649
161	35.3247
162	35.5844
163	35.3247
164	35.3247
165	34.8052
166	35.0649
167	34.8052
168	35.0649
169	35.0649
170	35.3247
171	35.0649
172	35.0649
173	35.0649
174	34.8052
175	35.0649
176	35.0649
177	35.0649
178	35.3247
179	35.3247
180	35.3247
181	35.0649
182	34.8052
183	34.8052
184	34.8052
185	35.0649
186	35.0649
187	35.3247
188	35.3247
189	35.0649
190	35.0649
191	35.0649
192	34.8052
193	34.8052
194	35.0649
195	35.0649
196	35.0649
197	35.3247
198	35.0649
199	35.0649
200	35.0649
201	34.8052
202	34.8052
203	35.0649
204	35.0649
205	35.3247
206	35.3247
207	35.0649
208	35.0649
209	35.3247
210	35.0649
211	34.8052
212	34.8052
213	35.0649
214	34.8052
215	35.0649
216	35.3247
217	35.3247
218	35.5844
219	35.3247
220	35.0649
221	34.8052
222	35.0649
223	35.0649
224	34.8052
225	35.0649
226	35.0649
227	35.0649
228	35.0649
229	35.0649
230	35.0649
231	35.0649
232	35.0649
233	35.0649
234	34.8052
235	34.8052
236	34.8052
237	35.0649
238	35.0649
239	35.5844
240	35.5844
241	35.5844
242	35.3247
243	35.3247
244	35.0649
245	34.8052
246	34.8052
247	34.8052
248	35.0649
249	35.3247
250	35.0649
251	35.3247
252	35.3247
253	34.8052
254	35.0649
255	35.0649
256	35.0649
257	35.0649
258	35.0649
259	35.0649
260	35.0649
261	35.0649
262	35.0649
263	34.8052
264	34.8052
265	34.8052
266	35.0649
267	35.3247
268	35.3247
269	35.5844
270	35.5844
271	35.3247
272	35.0649
273	35.0649
274	35.0649
275	34.8052
276	34.8052
277	34.8052
278	35.0649
279	35.3247
280	35.5844
281	35.5844
282	35.5844
283	35.3247
284	35.0649
285	35.0649
286	34.8052
287	34.8052
288	34.8052
289	34.8052
290	35.3247
291	35.5844
292	35.8442
293	35.5844
294	35.5844
295	35.5844
296	35.3247
297	35.3247
298	35.3247
299	35.0649
300	34.8052
301	34.8052
302	34.8052
303	34.8052
304	35.0649
305	35.3247
306	35.3247
307	35.3247
308	35.3247
309	35.5844
310	35.3247
311	35.0649
312	35.0649
313	34.8052
314	34.8052
315	34.8052
316	35.0649
317	35.3247
318	35.5844
319	35.5844
320	35.5844
321	35.3247
322	35.0649
323	34.8052
324	34.8052
325	34.8052
326	35.0649
327	35.3247
328	35.5844
329	35.5844
330	35.3247
331	35.3247
332	35.0649
333	35.0649
