# Wavelength (nm)	Smoothed Intensity
299.383362	45.316630
299.552002	45.591598
299.720612	45.864751
299.889191	46.097671
300.057800	46.343683
300.226379	46.606350
300.394958	46.874315
300.563538	47.142283
300.732117	47.405580
300.900696	47.667734
301.069244	47.912037
301.237793	48.177879
301.406342	48.464552
301.574890	48.696254
301.743408	48.938182
301.911957	49.167165
302.080475	49.432235
302.248993	49.689167
302.417480	49.939596
302.585999	50.198205
302.754486	50.450380
302.922974	50.693880
303.091461	50.928957
303.259949	51.155639
303.428436	51.392485
303.596893	51.616400
303.765350	51.854314
303.933807	52.083584
304.102264	52.306958
304.270691	52.535305
304.439117	52.742854
304.607574	52.959683
304.776001	53.148716
304.944397	53.390263
305.112823	53.614069
305.281219	53.815331
305.449615	54.003599
305.618011	54.196423
305.786407	54.426911
305.954773	54.605944
306.123169	54.825829
306.291534	55.029776
306.459900	55.236181
306.628235	55.445016
306.796600	55.655645
306.964935	55.863213
307.133270	56.063132
307.301605	56.256233
307.469940	56.459967
307.638245	56.638869
307.806580	56.825561
307.974884	57.021266
308.143188	57.216340
308.311462	57.388023
308.479767	57.575409
308.648041	57.772278
308.816315	57.964015
308.984589	58.138299
309.152863	58.309936
309.321106	58.491629
309.489380	58.633735
309.657623	58.793873
309.825867	58.950328
309.994080	59.130110
310.162323	59.298700
310.330536	59.459955
310.498749	59.634101
310.666962	59.802451
310.835175	59.942799
311.003357	60.082838
311.171539	60.249762
311.339752	60.416140
311.507904	60.565084
311.676086	60.711203
311.844238	60.863911
312.012421	61.010138
312.180573	61.146246
312.348724	61.285744
312.516846	61.390010
312.684998	61.551042
312.853119	61.687562
313.021240	61.821185
313.189362	61.948726
313.357452	62.066739
313.525574	62.171870
313.693665	62.304361
313.861755	62.401675
314.029846	62.485347
314.197937	62.607684
314.365997	62.743150
314.534058	62.866605
314.702118	62.953312
314.870178	63.047280
315.038239	63.167079
315.206268	63.265865
315.374298	63.358960
315.542328	63.470106
315.710358	63.588698
315.878357	63.718983
316.046387	63.797054
316.214386	63.903337
316.382385	64.002850
316.550385	64.107154
316.718353	64.187828
316.886353	64.290230
317.054321	64.387190
317.222290	64.494306
317.390259	64.604269
317.558197	64.708784
317.726135	64.795754
317.894104	64.880028
318.062012	64.992243
318.229950	65.075145
318.397888	65.181792
318.565796	65.274136
318.733704	65.367233
318.901611	65.435398
319.069519	65.534593
319.237396	65.635930
319.405304	65.736043
319.573181	65.823471
319.741058	65.904003
319.908905	65.987313
320.076782	66.079631
320.244629	66.152515
320.412476	66.214861
320.580322	66.273110
320.748169	66.362816
320.915985	66.418645
321.083801	66.501654
321.251617	66.554363
321.419434	66.604197
321.587250	66.719346
321.755035	66.773108
321.922821	66.843546
322.090607	66.917896
322.258392	67.022866
322.426178	67.081476
322.593933	67.151415
322.761719	67.208464
322.929474	67.272708
323.097198	67.363767
323.264954	67.441760
323.432678	67.522887
323.600403	67.604533
323.768127	67.687167
323.935852	67.767032
324.103577	67.826783
324.271271	67.903320
324.438965	67.954219
324.606659	68.046673
324.774353	68.143903
324.942047	68.175523
325.109711	68.248431
325.277374	68.335215
325.445038	68.366605
325.612701	68.415860
325.780334	68.468869
325.947968	68.494914
326.115631	68.562138
326.283234	68.616056
326.450867	68.648336
326.618500	68.705326
326.786102	68.746455
326.953705	68.789779
327.121307	68.834057
327.288879	68.879560
327.456482	68.948659
327.624054	69.003668
327.791626	69.057308
327.959198	69.082263
328.126770	69.103053
328.294312	69.154809
328.461853	69.198147
328.629395	69.234381
328.796936	69.296811
328.964478	69.353532
329.131989	69.408733
329.299500	69.471422
329.467010	69.527106
329.634521	69.578215
329.802002	69.632594
329.969513	69.693657
330.136993	69.763273
330.304474	69.828120
330.471954	69.871398
330.639404	69.951363
330.806854	69.993933
330.974335	70.051527
331.141754	70.091849
331.309204	70.146779
331.476654	70.206281
331.644073	70.272718
331.811493	70.321693
331.978912	70.350111
332.146332	70.422822
332.313721	70.475229
332.481110	70.535417
332.648499	70.586031
332.815887	70.640006
332.983276	70.694970
333.150635	70.725393
333.317993	70.783379
333.485352	70.819478
333.652710	70.862423
333.820068	70.919115
333.987396	70.947223
334.154724	70.978457
334.322052	71.019266
334.489380	71.068294
334.656708	71.093826
334.824005	71.124970
334.991302	71.143972
335.158600	71.183965
335.325897	71.240802
335.493164	71.269255
335.660431	71.299483
335.827728	71.325077
335.994965	71.346698
336.162231	71.367713
336.329498	71.405844
336.496735	71.449894
336.663971	71.444186
336.831207	71.482288
336.998413	71.508294
337.165649	71.535059
337.332855	71.558019
337.500061	71.616284
337.667267	71.640051
337.834442	71.675758
338.001648	71.726031
338.168823	71.760630
338.335999	71.805042
338.503174	71.830339
338.670319	71.843357
338.837494	71.870600
339.004639	71.897843
339.171783	71.906290
339.338898	71.949452
339.506042	71.965029
339.673157	71.976462
339.840271	72.003770
340.007385	72.030951
340.174500	72.074453
340.341583	72.122908
340.508667	72.154147
340.675751	72.182913
340.842834	72.192131
341.009918	72.218564
341.176971	72.261628
341.344055	72.303192
341.511108	72.354715
341.678131	72.376002
341.845184	72.393294
342.012207	72.423537
342.179230	72.447533
342.346252	72.465489
342.513275	72.515900
342.680298	72.544539
342.847290	72.569173
343.014282	72.608674
343.181274	72.639279
343.348267	72.688029
343.515228	72.705351
343.682190	72.693690
343.849152	72.713430
344.016113	72.745001
344.183075	72.780957
344.350006	72.814247
344.516968	72.837236
344.683899	72.851719
344.850800	72.858819
345.017731	72.886166
345.184631	72.909671
345.351532	72.941293
345.518433	72.968282
345.685333	72.996308
345.852234	73.009769
346.019104	73.025535
346.185974	73.052995
346.352844	73.058912
346.519714	73.089623
346.686554	73.083198
346.853424	73.078428
347.020264	73.106434
347.187073	73.118753
347.353912	73.144921
347.520721	73.141813
347.687561	73.156928
347.854370	73.168035
348.021179	73.181240
348.187958	73.191482
348.354736	73.188264
348.521545	73.231027
348.688324	73.251315
348.855072	73.283332
349.021851	73.283191
349.188599	73.280179
349.355347	73.290827
349.522095	73.301552
349.688843	73.323545
349.855560	73.325248
350.022308	73.362670
350.189026	73.396708
350.355743	73.423193
350.522430	73.427083
350.689148	73.441649
350.855835	73.473380
351.022522	73.483676
351.189209	73.497048
351.355865	73.502185
351.522522	73.519862
351.689209	73.565377
351.855865	73.574385
352.022491	73.584537
352.189148	73.580697
352.355774	73.615223
352.522400	73.650255
352.689026	73.669724
352.855652	73.682713
353.022247	73.712890
353.188843	73.728691
353.355438	73.730472
353.522034	73.735484
353.688629	73.744093
353.855194	73.788310
354.021759	73.801640
354.188324	73.815123
354.354889	73.855315
354.521454	73.880325
354.687988	73.904691
354.854523	73.938748
355.021057	73.940258
355.187592	73.957506
355.354095	73.995883
355.520599	74.019665
355.687134	74.029883
355.853607	74.019677
356.020111	74.041373
356.186584	74.066439
356.353088	74.067787
356.519562	74.073218
356.686005	74.068852
356.852478	74.086025
357.018921	74.096201
357.185364	74.082890
357.351807	74.079753
357.518250	74.081913
357.684692	74.073527
357.851105	74.058805
358.017517	74.096837
358.183929	74.091060
358.350311	74.102824
358.516724	74.094495
358.683105	74.093990
358.849487	74.096815
359.015869	74.121777
359.182220	74.159430
359.348602	74.162701
359.514954	74.164096
359.681305	74.173047
359.847656	74.217562
360.013977	74.260906
360.180298	74.254619
360.346649	74.263215
360.512939	74.291079
360.679260	74.328816
360.845581	74.350683
361.011871	74.370598
361.178162	74.396923
361.344452	74.387358
361.510712	74.407480
361.677002	74.422195
361.843262	74.442452
362.009521	74.443920
362.175751	74.461546
362.342010	74.474608
362.508240	74.491580
362.674469	74.515042
362.840698	74.523927
363.006927	74.543712
363.173126	74.539216
363.339325	74.514299
363.505524	74.565497
363.671722	74.575180
363.837921	74.593542
364.004089	74.602429
364.170258	74.623565
364.336426	74.626683
364.502594	74.636547
364.668762	74.643882
364.834900	74.626846
365.001038	74.644032
