# Wavelength (nm)	Smoothed Intensity
299.383362	22.899752
299.552002	23.140490
299.720612	23.382249
299.889191	23.624948
300.057800	23.868510
300.226379	24.112855
300.394958	24.357904
300.563538	24.603578
300.732117	24.849797
300.900696	25.096483
301.069244	25.343557
301.237793	25.590939
301.406342	25.838551
301.574890	26.086313
301.743408	26.334146
301.911957	26.581971
302.080475	26.829710
302.248993	27.077282
302.417480	27.324609
302.585999	27.571612
302.754486	27.940817
302.922974	28.185579
303.091461	28.430313
303.259949	28.674363
303.428436	28.917584
303.596893	29.160306
303.765350	29.402685
303.933807	29.644057
304.102264	29.883998
304.270691	30.122719
304.439117	30.360218
304.607574	30.597419
304.776001	30.832838
304.944397	31.066979
305.112823	31.299667
305.281219	31.530613
305.449615	31.760572
305.618011	31.988292
305.786407	32.214832
305.954773	32.440056
306.123169	32.664461
306.291534	32.887182
306.459900	33.108235
306.628235	33.327578
306.796600	33.544694
306.964935	33.760331
307.133270	33.974087
307.301605	34.187613
307.469940	34.401125
307.638245	34.613444
307.806580	34.824688
307.974884	35.034654
308.143188	35.242208
308.311462	35.449883
308.479767	35.655678
308.648041	35.860545
308.816315	36.064603
308.984589	36.267694
309.152863	36.470024
309.321106	36.670508
309.489380	36.869838
309.657623	37.068549
309.825867	37.265554
309.994080	37.460486
310.162323	37.654278
310.330536	37.846577
310.498749	38.038044
310.666962	38.227612
310.835175	38.414810
311.003357	38.599727
311.171539	38.782572
311.339752	38.963055
311.507904	39.141344
311.676086	39.316177
311.844238	39.488118
312.012421	39.658545
312.180573	39.826597
312.348724	39.992306
312.516846	40.156360
312.684998	40.318574
312.853119	40.478983
313.021240	40.637520
313.189362	40.794703
313.357452	40.950438
313.525574	41.105852
313.693665	41.259702
313.861755	41.412822
314.029846	41.564042
314.197937	41.713070
314.365997	41.862080
314.534058	42.010178
314.702118	42.157278
314.870178	42.304914
315.038239	42.451969
315.206268	42.599033
315.374298	42.745437
315.542328	42.891931
315.710358	43.037344
315.878357	43.182130
316.046387	43.326448
316.214386	43.468978
316.382385	43.610604
316.550385	43.751662
316.718353	43.891854
316.886353	44.029673
317.054321	44.166709
317.222290	44.300757
317.390259	44.432679
317.558197	44.563710
317.726135	44.691868
317.894104	44.818183
318.062012	44.942393
318.229950	45.063991
318.397888	45.184231
318.565796	45.302956
318.733704	45.419515
318.901611	45.533001
319.069519	45.644873
319.237396	45.754512
319.405304	45.862705
319.573181	45.969216
319.741058	46.073535
319.908905	46.176336
320.076782	46.278065
320.244629	46.378093
320.412476	46.477058
320.580322	46.575680
320.748169	46.674975
320.915985	46.774768
321.083801	46.874289
321.251617	46.973706
321.419434	47.073922
321.587250	47.174099
321.755035	47.274352
321.922821	47.374315
322.090607	47.474099
322.258392	47.572933
